,H%,SpPosA_B(m),WiA_B(s),GATS4v,J_G,SpAD_RG,TDB02e,TDB03s,TDB07s,RDF030u,RDF030e,Mor25u,Mor04m,Mor25e,Mor10i,P1s,R8e,CATS2D_06_DA,ALOGP,BLTA96,score
0,43.5,2.62,0.523,1.26,2.63,19.0,2.33,10.3,21.3,4.34,3.92,0.4270000000000001,2.07,0.3720000000000001,-0.246,0.6409999999999999,0.421,0.0,0.0,-3.85,3
1,42.1,1.4,0.251,1.02,2.48,51.8,2.39,14.0,30.4,30.5,31.5,0.67,2.89,0.602,0.7070000000000001,0.65,1.21,5.0,-2.26,0.88,3
2,47.4,1.42,0.307,1.03,1.89,32.2,2.27,8.86,18.7,11.5,11.2,0.903,0.263,0.89,-1.08,0.884,0.258,0.0,1.18,-3.48,3
3,38.9,1.41,0.366,1.08,2.17,33.4,2.45,15.2,34.7,14.6,15.4,0.4529999999999999,0.953,0.424,0.11,0.795,0.652,3.0,1.65,-0.72,3
4,30.3,1.43,0.371,0.995,1.95,30.0,2.55,21.3,47.1,10.4,10.7,0.515,0.954,0.52,1.3,0.76,0.6779999999999999,4.0,1.24,-0.71,3
5,31.3,1.43,0.377,0.965,1.94,29.0,2.52,18.0,38.4,11.3,11.7,0.648,0.7829999999999999,0.68,1.07,0.7559999999999999,0.608,3.0,1.5,-1.46,3
6,36.0,1.41,0.258,0.953,1.95,44.7,2.54,17.0,34.4,12.0,12.6,1.1,3.12,1.09,-0.4039999999999999,0.632,0.7709999999999999,4.0,0.639,-0.68,3
7,37.7,1.41,0.252,0.942,2.3,48.3,2.52,17.5,37.2,25.8,26.5,1.0,1.45,1.09,1.6,0.632,1.16,6.0,0.034,0.77,3
8,36.4,1.39,0.357,0.972,2.01,28.7,2.42,13.9,30.3,6.49,6.66,0.911,0.574,0.887,-0.416,0.6729999999999999,0.628,1.0,2.59,-3.24,3
9,34.5,1.4,0.395,0.99,1.86,25.5,2.41,14.8,30.4,3.07,3.25,0.858,0.243,0.8320000000000001,0.067,0.731,0.471,1.0,2.6,-3.27,3
10,31.3,1.43,0.377,1.03,1.88,29.0,2.52,18.1,48.1,8.93,8.72,0.647,0.925,0.6729999999999999,0.86,0.797,0.4970000000000001,2.0,1.8,-1.46,3
11,45.8,1.37,0.513,1.29,2.29,21.5,2.31,9.65,19.6,5.79,5.38,0.359,-1.23,0.317,-0.045,0.802,0.469,1.0,1.5,-2.24,3
12,33.3,1.41,0.39,1.01,1.86,26.6,2.45,16.2,30.7,4.26,4.57,0.7879999999999999,0.648,0.777,0.304,0.789,0.386,1.0,2.33,-2.99,2
13,34.3,1.46,0.17,1.09,1.2,60.2,2.47,12.4,25.6,6.77,7.7,1.97,-0.434,1.91,-0.918,0.933,0.38,8.0,6.34,-4.04,2
14,30.3,1.44,0.371,0.985,1.93,30.1,2.55,20.7,53.0,10.9,11.0,0.503,0.8759999999999999,0.511,1.11,0.7709999999999999,0.619,4.0,1.24,-0.71,2
15,31.3,1.43,0.377,0.983,1.91,29.0,2.52,19.0,45.6,9.61,9.54,0.621,0.684,0.622,0.93,0.789,0.5870000000000001,3.0,1.5,-1.46,2
16,40.0,1.41,0.4539999999999999,1.12,1.93,21.9,2.3,10.4,25.4,6.55,6.38,0.506,-1.24,0.481,-0.233,0.805,0.241,0.0,1.07,-2.17,2
17,40.0,1.41,0.217,1.05,2.5,50.1,2.41,12.6,26.9,19.2,21.2,1.01,0.467,1.04,-1.48,0.7090000000000001,0.996,0.0,2.44,-3.72,2
18,52.6,1.34,0.184,1.08,3.24,68.9,2.21,8.25,15.4,47.4,45.9,2.37,1.93,2.28,-2.36,0.648,0.972,0.0,6.11,-5.31,2
19,44.4,1.38,0.2,0.958,1.71,53.5,2.34,10.7,20.6,17.4,17.5,2.09,1.6,2.2,-2.44,0.861,0.584,0.0,4.15,-4.09,2
20,34.5,1.4,0.395,0.929,1.87,25.4,2.41,15.1,30.7,4.51,4.62,0.955,0.045,0.94,0.325,0.728,0.491,1.0,2.31,-3.27,2
21,51.7,1.34,0.233,1.15,2.96,53.4,2.21,7.9,16.5,35.6,34.1,1.4,0.931,1.3,-1.63,0.7979999999999999,1.34,0.0,4.76,-4.91,2
22,38.1,1.41,0.318,1.11,2.59,38.0,2.44,15.8,43.5,12.7,13.0,0.851,-0.205,0.87,-0.242,0.71,0.5710000000000001,1.0,2.69,-2.48,1
23,53.4,1.32,0.225,1.09,2.14,51.8,2.19,7.07,13.9,23.0,22.1,1.6,2.05,1.56,-3.36,0.755,1.11,0.0,4.71,-5.87,1
24,54.0,1.33,0.105,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,-3.13,1
25,58.8,1.29,0.2019999999999999,0.7809999999999999,2.81,62.0,2.16,5.68,10.2,39.9,37.6,2.33,1.65,2.27,-1.74,0.7659999999999999,1.37,0.0,4.25,-2.56,0
26,50.0,1.35,0.239,1.1,2.59,51.2,2.25,8.23,16.5,23.6,22.0,1.3,-1.14,1.32,-2.79,0.799,0.82,0.0,4.39,-5.29,0
27,53.4,1.32,0.1889999999999999,1.12,2.6,64.5,2.2,7.19,14.6,32.3,30.8,1.75,-0.242,1.66,-3.15,0.715,1.07,0.0,6.09,-5.92,0
28,51.6,1.33,0.213,1.09,3.22,53.3,2.26,8.91,14.5,25.2,25.3,1.19,-0.409,1.13,-4.06,0.574,1.81,0.0,5.27,-3.93,0
29,48.9,1.35,0.261,1.1,2.03,39.5,2.23,6.71,11.1,19.5,18.5,1.45,-1.16,1.4,0.239,0.623,0.851,0.0,4.7,-4.94,0
30,43.2,1.38,0.171,0.933,1.9,64.0,2.32,10.1,22.4,21.9,21.5,2.29,-0.005,2.3,-1.17,0.767,0.867,2.0,6.69,-5.02,0
31,52.4,1.33,0.16,1.11,1.94,71.8,2.22,6.87,12.8,41.8,41.2,2.11,-0.508,2.04,-1.29,0.759,1.26,0.0,6.51,-6.39,0
