0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
23.0,10.0,9.0,73.0,268.0,311.0,266.0,236.0,221.0,218.0,214.0,191.0,177.0,208.0,172.0,81.0,89.7,77.3,58.9,41.2,27.9,3580.0,3230.0,5260.0,6300.0,4990.0,4700.0,4660.0,4950.0,3730.0,6.54,5.73,4.84,3.56,3.11,5.49,3.22,3.52,3.33,50.4,335.0,274.0,247.0,7.81,6.14,6.31,6.0,2250.0,-0.292,-0.247,37.0,5.53,-0.057,-0.114,-0.10099999999999999,-0.0646,0.27899999999999997,0.58,0.713,0.603,23.0,16.0,19.0,0.0,0.222,0.222,0.0278,25.3,0.721,0.9990000000000001,0.9620000000000001,1.0,0.0,1.0,1.28,8.88,1.28,8.88,8.88,0.387,0.735,0.368,2.77,1.2,-2.7,0.0,0.0,17.3,8.88,0.0,2.18,1.2,4.11,6.16,0.5670000000000001,18.1,1.39,17.6,2.91,0.0326
57.0,24.0,22.0,651.0,834.0,1280.0,1730.0,1900.0,1830.0,695.0,1430.0,1560.0,1490.0,683.0,1480.0,175.0,241.0,275.0,273.0,243.0,199.0,9320.0,8910.0,15800.0,23700.0,33500.0,37000.0,36800.0,33100.0,24700.0,9.65,8.68,8.19,7.85,6.74,8.23,3.96,3.74,5.33,24.4,271.0,254.0,235.0,8.17,6.74,6.73,6.67,2630.0,-2.29,-2.56,79.2,14.8,-0.192,-0.19699999999999998,-0.20600000000000002,-0.209,0.23199999999999998,0.687,0.838,0.925,60.0,49.0,52.0,2.0,0.409,0.409,0.087,64.4,0.639,1.03,1.0,0.0,0.0,6.0,0.0,66.3,0.0,11.5,10.3,0.282,0.701,0.27,4.19,1.74,-0.547,32.6,14.1,18.1,66.3,-1.87,1.25,1.32,2.38,9.08,0.598,46.4,1.41,27.8,-1.4,0.0386
38.0,18.0,16.0,228.0,519.0,598.0,704.0,636.0,502.0,424.0,561.0,502.0,398.0,416.0,388.0,117.0,142.0,138.0,122.0,98.7,69.6,6100.0,5820.0,10700.0,11800.0,15100.0,13900.0,10500.0,8490.0,7100.0,5.8,6.13,4.84,3.97,2.46,2.39,2.73,2.41,2.11,23.3,268.0,233.0,233.0,7.34,5.94,5.84,5.72,2060.0,0.345,0.295,62.9,-17.2,-0.14400000000000002,0.07400000000000001,0.141,0.126,-0.0258,1.12,0.96,0.95,40.0,24.0,33.0,0.0,0.25,0.25,0.0823,42.5,0.64,0.988,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27899999999999997,0.579,0.263,3.78,2.21,-5.09,24.3,33.1,0.0,1.21,0.0,0.0,4.68,4.47,13.9,0.41200000000000003,32.7,1.64,25.1,2.5,0.028999999999999998
36.0,14.0,15.0,244.0,494.0,720.0,783.0,706.0,625.0,414.0,638.0,572.0,505.0,406.0,503.0,103.0,121.0,115.0,102.0,86.8,69.8,5790.0,5590.0,8910.0,13400.0,15300.0,14000.0,12500.0,10300.0,8040.0,10.3,9.26,8.56,7.11,5.48,7.95,4.33,4.14,4.54,22.9,279.0,263.0,213.0,8.16,6.89,6.65,6.6,1640.0,-2.1,-2.33,48.1,14.2,-0.282,-0.262,-0.275,-0.275,0.28600000000000003,0.816,0.723,0.805,38.0,26.0,32.0,3.0,0.2,0.2,0.0657,40.4,0.6609999999999999,1.04,1.01,1.0,0.0,6.0,0.064,57.9,0.064,10.2,9.36,0.293,0.631,0.278,3.65,1.91,-0.955,12.1,0.0,17.2,57.9,-1.92,0.0,0.0,2.6,17.0,0.5770000000000001,31.8,1.45,15.8,1.25,0.0322
33.0,10.0,15.0,221.0,431.0,614.0,669.0,588.0,506.0,366.0,557.0,487.0,420.0,360.0,418.0,95.5,109.0,100.0,89.1,76.5,64.5,5230.0,5130.0,7440.0,10700.0,12200.0,10900.0,9320.0,8270.0,7300.0,13.2,11.9,12.4,11.5,9.38,10.1,5.04,5.0,6.38,30.2,299.0,299.0,253.0,8.69,7.29,7.24,7.21,1350.0,-2.53,-2.81,45.1,15.2,-0.318,-0.304,-0.33299999999999996,-0.326,0.337,0.5720000000000001,0.579,0.6779999999999999,35.0,17.0,27.0,0.0,0.0,0.0,0.0549,36.8,0.71,1.06,1.04,0.0,0.0,6.0,0.0,57.8,0.0,9.99,9.29,0.304,0.561,0.28300000000000003,3.51,2.21,-2.05,18.2,0.0,0.0,57.3,0.0,0.0,0.0,1.65,13.4,0.63,31.9,1.39,12.6,1.69,0.0362
32.0,10.0,15.0,206.0,418.0,586.0,624.0,558.0,477.0,355.0,520.0,462.0,394.0,348.0,391.0,93.9,106.0,96.8,85.1,74.2,60.9,5050.0,4950.0,7290.0,10400.0,11500.0,10300.0,8990.0,7770.0,6250.0,12.6,11.4,11.5,10.4,9.6,9.34,4.81,4.85,6.64,27.8,299.0,295.0,248.0,8.55,7.15,7.12,7.08,1350.0,-2.0,-2.22,43.9,13.0,-0.28600000000000003,-0.263,-0.28800000000000003,-0.282,0.29100000000000004,0.6409999999999999,0.614,0.703,34.0,16.0,26.0,0.0,0.0,0.0,0.0576,35.5,0.71,1.05,1.03,0.0,0.0,5.0,0.0,48.2,0.0,9.98,9.27,0.303,0.574,0.281,3.48,2.13,-2.49,12.1,0.0,0.0,47.9,0.0,0.0,0.0,2.52,15.5,0.579,31.8,1.45,12.6,1.99,0.035
50.0,18.0,21.0,373.0,727.0,1060.0,1110.0,1030.0,912.0,611.0,920.0,843.0,751.0,603.0,746.0,141.0,165.0,157.0,148.0,140.0,135.0,8030.0,7760.0,12900.0,19500.0,20900.0,19500.0,17300.0,16400.0,16300.0,11.6,10.0,9.6,8.69,7.79,8.61,4.29,4.55,5.68,24.9,283.0,259.0,212.0,8.57,7.08,7.07,7.05,2190.0,-2.41,-2.77,67.0,9.76,-0.228,-0.218,-0.213,-0.218,0.154,0.7829999999999999,0.777,0.9420000000000001,53.0,34.0,44.0,4.0,0.23800000000000002,0.23800000000000002,0.091,56.0,0.675,1.05,1.03,0.0,0.0,6.0,0.0,59.5,0.0,10.3,9.13,0.272,0.659,0.258,4.11,1.93,-1.16,0.0,0.0,0.0,59.2,-9.56,0.0,0.0,7.48,17.9,0.634,44.7,1.4,25.0,0.142,0.0303
53.0,20.0,21.0,433.0,767.0,1120.0,1220.0,1120.0,997.0,644.0,999.0,918.0,826.0,634.0,819.0,146.0,173.0,169.0,161.0,164.0,177.0,8590.0,8280.0,13700.0,20600.0,23100.0,21500.0,18600.0,19800.0,22600.0,11.4,9.96,9.57,8.82,7.34,8.55,4.37,4.33,5.43,25.2,276.0,255.0,213.0,8.5,7.08,6.99,6.96,2330.0,-3.16,-3.61,69.8,13.4,-0.27399999999999997,-0.259,-0.255,-0.26,0.201,0.745,0.7759999999999999,0.938,56.0,38.0,48.0,4.0,0.28600000000000003,0.28600000000000003,0.0806,59.7,0.66,1.05,1.03,0.0,0.0,8.0,0.0,79.6,0.0,10.3,9.63,0.27,0.623,0.257,4.18,2.16,-0.888,19.1,0.0,6.92,79.1,-7.59,1.39,0.47100000000000003,1.46,16.1,0.67,44.6,1.35,26.1,0.19399999999999998,0.0273
33.0,12.0,16.0,208.0,441.0,556.0,591.0,580.0,494.0,369.0,491.0,476.0,401.0,362.0,396.0,95.4,107.0,100.0,93.9,83.2,68.6,5170.0,5000.0,8060.0,10200.0,10900.0,11000.0,9850.0,8120.0,7490.0,10.6,9.89,9.35,9.24,8.38,6.42,4.02,3.94,5.5,25.6,292.0,267.0,243.0,8.33,6.71,6.92,6.85,1550.0,-0.65,-0.7659999999999999,45.3,2.55,-0.17,-0.127,-0.113,-0.12,0.0624,0.75,0.787,0.9109999999999999,35.0,17.0,27.0,0.0,0.0625,0.0625,0.0648,36.5,0.6920000000000001,1.03,1.0,0.0,0.0,2.0,0.0,19.6,0.0,9.84,9.79,0.287,0.63,0.267,3.59,1.87,-4.04,0.0,7.11,0.0,19.6,0.0,0.0,1.03,6.96,15.2,0.445,33.5,1.6,16.4,2.88,0.0401
29.0,10.0,15.0,164.0,379.0,509.0,501.0,423.0,352.0,319.0,413.0,346.0,289.0,312.0,285.0,89.2,97.0,84.1,73.3,62.7,52.0,4490.0,4390.0,6830.0,9500.0,9490.0,8250.0,6770.0,5870.0,5270.0,10.6,9.97,9.48,8.22,7.15,6.71,4.04,4.0,4.61,24.1,302.0,283.0,234.0,8.21,6.66,6.76,6.7,1350.0,-0.629,-0.701,39.8,5.58,-0.17600000000000002,-0.129,-0.134,-0.135,0.133,0.672,0.716,0.789,31.0,13.0,23.0,0.0,0.0,0.0,0.0676,31.9,0.7090000000000001,1.03,1.0,0.0,0.0,2.0,0.0,19.2,0.0,9.77,9.46,0.29100000000000004,0.56,0.268,3.44,2.14,-3.77,12.1,0.0,0.0,19.5,0.0,0.0,0.0,8.36,16.4,0.39,31.6,1.66,12.6,2.87,0.0372
32.0,10.0,15.0,197.0,418.0,585.0,620.0,533.0,427.0,355.0,514.0,438.0,351.0,348.0,348.0,93.9,106.0,95.8,82.2,68.8,59.0,5050.0,4950.0,7290.0,10400.0,11500.0,10200.0,8190.0,6850.0,6370.0,12.6,11.4,11.3,9.83,8.55,9.34,4.8,4.88,6.36,27.3,299.0,295.0,246.0,8.49,7.15,7.04,7.0,1350.0,-2.0,-2.22,43.9,13.0,-0.287,-0.263,-0.28800000000000003,-0.282,0.29100000000000004,0.69,0.614,0.703,34.0,16.0,26.0,0.0,0.0,0.0,0.0564,35.5,0.71,1.05,1.03,0.0,0.0,5.0,0.0,47.5,0.0,9.69,9.32,0.303,0.574,0.281,3.48,2.13,-2.49,12.1,0.0,0.0,47.4,0.0,0.0,0.0,2.6,17.0,0.5770000000000001,31.8,1.45,12.6,1.99,0.0328
24.0,11.0,10.0,93.0,322.0,353.0,377.0,344.0,227.0,265.0,306.0,271.0,180.0,261.0,179.0,64.3,68.5,62.3,44.7,27.9,18.2,3880.0,3690.0,6300.0,7020.0,7740.0,7630.0,4850.0,3360.0,3110.0,7.58,7.08,5.93,4.61,3.53,4.12,3.41,3.14,3.04,18.8,263.0,229.0,209.0,7.7,6.3,6.24,6.16,1190.0,-0.297,-0.375,34.6,-0.679,-0.171,-0.125,-0.0929,-0.109,0.0268,1.12,0.9109999999999999,1.02,25.0,15.0,21.0,0.0,0.2,0.2,0.0912,27.0,0.632,1.01,0.9740000000000001,1.0,0.0,1.0,0.0488,9.03,0.0488,9.03,9.03,0.33399999999999996,0.779,0.315,3.05,1.02,-2.63,18.2,7.11,5.56,10.0,1.81,0.0488,1.19,3.62,10.4,0.4370000000000001,20.7,1.59,13.3,1.67,0.036000000000000004
30.0,10.0,15.0,173.0,392.0,534.0,546.0,475.0,375.0,331.0,453.0,389.0,306.0,324.0,302.0,90.8,100.0,88.6,76.8,64.2,52.1,4680.0,4580.0,6980.0,9800.0,10100.0,9150.0,7320.0,5860.0,5050.0,11.3,10.5,10.2,9.12,8.34,7.65,4.31,4.27,5.93,25.6,301.0,287.0,240.0,8.4,6.84,6.97,6.92,1350.0,-1.05,-1.16,41.2,8.23,-0.215,-0.17600000000000002,-0.19,-0.188,0.19,0.6459999999999999,0.682,0.758,32.0,14.0,24.0,0.0,0.0,0.0,0.0648,33.1,0.7090000000000001,1.04,1.01,0.0,0.0,3.0,0.0,28.6,0.0,9.71,9.43,0.297,0.5760000000000001,0.27399999999999997,3.45,2.08,-3.34,0.0,0.0,0.0,28.5,0.0,0.0,0.0,7.48,15.0,0.45799999999999996,31.7,1.58,12.6,2.58,0.032
70.0,24.0,32.0,526.0,958.0,1240.0,1370.0,1410.0,1280.0,806.0,1130.0,1150.0,1050.0,789.0,1040.0,233.0,275.0,273.0,253.0,219.0,199.0,11100.0,10800.0,17500.0,24000.0,26900.0,28000.0,25900.0,22800.0,19600.0,9.98,8.11,9.43,6.89,6.24,6.73,3.3,5.43,4.0,25.7,306.0,282.0,245.0,7.98,6.63,6.59,6.49,3300.0,-0.664,-1.18,120.0,26.2,-0.32799999999999996,0.0802,-0.0678,-0.109,-0.0148,0.636,0.748,1.12,75.0,35.0,53.0,0.0,0.0,0.0,0.147,77.8,0.71,1.03,1.0,0.0,0.0,2.0,0.0,19.4,0.0,9.72,9.72,0.294,0.511,0.273,4.33,2.99,-8.38,47.5,11.5,0.0,18.1,0.0,0.0,0.0,21.5,39.5,0.5720000000000001,68.2,1.48,38.5,8.15,0.0328
33.0,10.0,15.0,218.0,431.0,613.0,665.0,583.0,501.0,366.0,553.0,482.0,414.0,360.0,412.0,95.5,109.0,100.0,87.9,75.6,64.0,5230.0,5130.0,7440.0,10700.0,12200.0,10800.0,9360.0,8080.0,7110.0,13.2,11.9,12.2,11.2,9.26,10.1,5.03,5.05,6.62,29.5,299.0,299.0,252.0,8.63,7.29,7.18,7.15,1350.0,-2.53,-2.81,45.1,15.2,-0.318,-0.304,-0.33299999999999996,-0.326,0.337,0.616,0.579,0.6779999999999999,35.0,17.0,27.0,0.0,0.0,0.0,0.0544,36.8,0.71,1.06,1.04,0.0,0.0,6.0,0.0,57.5,0.0,9.99,9.33,0.304,0.561,0.28300000000000003,3.51,2.21,-2.05,12.1,0.0,0.0,57.2,0.0,0.0,0.0,1.46,14.3,0.629,31.9,1.39,12.6,1.69,0.0329
32.0,10.0,15.0,204.0,418.0,587.0,622.0,540.0,461.0,355.0,516.0,446.0,380.0,348.0,378.0,93.9,106.0,96.1,84.2,72.5,60.6,5050.0,4950.0,7290.0,10400.0,11500.0,10100.0,8650.0,7590.0,6440.0,12.6,11.4,11.5,10.4,8.81,9.34,4.81,4.82,6.14,28.0,299.0,295.0,247.0,8.52,7.15,7.07,7.03,1350.0,-2.0,-2.22,43.9,13.0,-0.28600000000000003,-0.263,-0.28800000000000003,-0.282,0.29100000000000004,0.637,0.614,0.703,34.0,16.0,26.0,0.0,0.0,0.0,0.0576,35.5,0.71,1.05,1.03,0.0,0.0,5.0,0.0,47.9,0.0,9.98,9.29,0.303,0.574,0.281,3.48,2.13,-2.49,18.2,0.0,0.0,47.6,0.0,0.0,0.0,2.6,15.9,0.578,31.8,1.45,12.6,1.99,0.0332
